chunk_id,model,human,judge,delta,cruza_3.0,words,nivel_1,nivel_2
node_25,8B,5.0,1.0,4.0,SÍ,17,DETECTÓ,CALIBRATION
node_29,8B,1.0,4.85,3.85,SÍ,23,NO DETECTÓ,MISATTRIBUTION
node_27,8B,1.0,4.0,3.0,SÍ,72,DETECTÓ,CALIBRATION
node_16,8B,3.0,4.25,1.25,NO,142,DETECTÓ,DOMAIN
node_19,70B,5.0,3.88,1.12,NO,153,NO DETECTÓ,MISATTRIBUTION
node_16,70B,5.0,4.0,1.0,NO,142,DETECTÓ,STYLE
node_20,70B,5.0,4.0,1.0,NO,132,DETECTÓ,STYLE
node_24,8B,5.0,4.0,1.0,NO,230,NO DETECTÓ,MISATTRIBUTION
node_32,70B,5.0,4.0,1.0,NO,63,DETECTÓ,DOMAIN
node_31,8B,2.0,1.15,0.85,NO,174,DETECTÓ,CALIBRATION
node_21,70B,5.0,4.25,0.75,NO,246,NO DETECTÓ,MISATTRIBUTION
node_27,70B,5.0,4.25,0.75,NO,72,DETECTÓ,STYLE
node_6,8B,4.0,4.6,0.6,NO,219,NO DETECTÓ,MISS
node_20,8B,5.0,4.5,0.5,NO,132,DETECTÓ,STYLE
node_22,8B,5.0,4.5,0.5,NO,82,DETECTÓ,STYLE
node_19,8B,3.0,3.4,0.4,NO,153,NO DETECTÓ,MISATTRIBUTION
node_10,8B,2.0,2.45,0.45,NO,113,DETECTÓ,CALIBRATION
node_5,70B,5.0,5.0,0.0,NO,9,DETECTÓ,CALIBRATION
node_10,70B,5.0,5.0,0.0,NO,113,DETECTÓ,CALIBRATION
node_25,70B,5.0,5.0,0.0,NO,17,DETECTÓ,CALIBRATION
node_33,70B,5.0,4.5,0.5,NO,23,DETECTÓ,STYLE
node_17,70B,5.0,4.63,0.37,NO,117,DETECTÓ,STYLE
node_34,70B,5.0,5.0,0.0,NO,23,DETECTÓ,CALIBRATION
node_24,70B,5.0,4.53,0.47,NO,230,DETECTÓ,CALIBRATION
node_6,70B,5.0,4.53,0.47,NO,219,DETECTÓ,STYLE
node_30,70B,5.0,5.0,0.0,NO,38,DETECTÓ,CALIBRATION
